step,design:pTM,design:global_pLDDT,design:hydrophobic,design:state_energy,system_energy
112,-0.18616134,-0.46925548,0.40232558139534885,1.3562111,1.3562111
113,-0.16703123,-0.46086016,0.37767220902612825,1.2604697,1.2604697
114,-0.42248917,-0.69494903,0.375,0.7575618,0.7575618
115,-0.30746228,-0.61295485,0.3732394366197183,0.9457801,0.9457801
116,-0.36485493,-0.6134848,0.37411764705882355,0.89224845,0.89224845
117,-0.36485493,-0.6134848,0.37411764705882355,0.89224845,0.89224845
118,-0.12457163,-0.42596883,0.37411764705882355,1.3200477,1.3200477
119,-0.12289447,-0.39473626,0.3706293706293706,1.3355162,1.3355162
120,-0.12021561,-0.48748395,0.34360189573459715,1.1103098,1.1103098
121,-0.10952234,-0.5042214,0.32235294117647056,0.99802095,0.99802095
122,-0.10952234,-0.5042214,0.32235294117647056,0.99802095,0.99802095
123,-0.10952234,-0.5042214,0.32235294117647056,0.99802095,0.99802095
124,-0.10232278,-0.5151197,0.3175355450236967,0.9702353,0.9702353
125,-0.10196329,-0.4834472,0.3198090692124105,1.0136349,1.0136349
126,-0.10127722,-0.51871604,0.319047619047619,0.9752448,0.9752448
127,-0.21789375,-0.5598012,0.32066508313539194,0.8256304,0.8256304
128,-0.19530445,-0.54244274,0.31990521327014215,0.86177886,0.86177886
129,-0.112057954,-0.489545,0.3191489361702128,0.9941418,0.9941418
130,-0.16894147,-0.5128404,0.323943661971831,0.9379364,0.9379364
131,-0.11984433,-0.48130858,0.34192037470725994,1.108449,1.108449
132,-0.18839246,-0.51204336,0.34192037470725994,1.009166,1.009166
133,-0.18839246,-0.51204336,0.34192037470725994,1.009166,1.009166
134,-0.11934714,-0.46936905,0.32547169811320753,1.0386422,1.0386422
135,-0.2231901,-0.53031373,0.32701421800947866,0.88156724,0.88156724
136,-0.20627013,-0.5449325,0.32701421800947866,0.88386846,0.88386846
137,-0.20627013,-0.5449325,0.32701421800947866,0.88386846,0.88386846
138,-0.20948832,-0.5456565,0.323943661971831,0.8645735,0.8645735
139,-0.16575381,-0.50871974,0.3023255813953488,0.8371544,0.8371544
140,-0.10267133,-0.49533603,0.3037383177570093,0.92068416,0.92068416
141,-0.10175839,-0.5105021,0.3037383177570093,0.9064311,0.9064311
142,-0.10517704,-0.50499606,0.2863849765258216,0.82175183,0.82175183
143,-0.16401151,-0.5516388,0.28841607565011823,0.72643006,0.72643006
144,-0.104127854,-0.5287942,0.2714285714285714,0.72422075,0.72422075
145,-0.1605701,-0.56352687,0.27014218009478674,0.6266139,0.6266139
146,-0.2059832,-0.55186236,0.26697892271662765,0.5770491,0.5770491
147,-0.18848379,-0.5502031,0.24766355140186916,0.49963087,0.49963087
148,-0.1726138,-0.54701537,0.2224824355971897,0.39278305,0.39278305
149,-0.17060935,-0.5486026,0.19058823529411764,0.23372924,0.23372924
150,-0.18471739,-0.5434248,0.1888111888111888,0.21591377,0.21591377
151,-0.1811492,-0.53946203,0.19103773584905662,0.23457748,0.23457748
152,-0.206381,-0.5517562,0.18969555035128804,0.19034052,0.19034052
153,-0.22930409,-0.55638814,0.19058823529411764,0.16724896,0.16724896
154,-0.22457919,-0.54009,0.22093023255813954,0.33998203,0.33998203
155,-0.22457919,-0.54009,0.22093023255813954,0.33998203,0.33998203
156,-0.23114467,-0.5344995,0.2199074074074074,0.33389282,0.33389282
157,-0.23317905,-0.53362477,0.2199074074074074,0.3327332,0.3327332
158,-0.22024973,-0.5220366,0.2224824355971897,0.3701259,0.3701259
159,-0.23214483,-0.5470621,0.2219626168224299,0.33060616,0.33060616
160,-0.233753,-0.55072796,0.22300469483568075,0.33054256,0.33054256
161,-0.22189148,-0.54240185,0.2211764705882353,0.3415891,0.3415891
162,-0.22027057,-0.5267756,0.2376470588235294,0.4411891,0.4411891
163,-0.18932912,-0.529299,0.24047619047619048,0.48375273,0.48375273
164,-0.19943203,-0.5385923,0.2620192307692308,0.57207185,0.57207185
165,-0.22686401,-0.5724736,0.26014319809069214,0.5013784,0.5013784
166,-0.21225768,-0.53364205,0.26014319809069214,0.5548163,0.5548163
167,-0.23618732,-0.5566844,0.2632850241545894,0.5235534,0.5235534
168,-0.23618732,-0.5566844,0.2632850241545894,0.5235534,0.5235534
169,-0.19019508,-0.5445684,0.2463768115942029,0.4971205,0.4971205
170,-0.19249609,-0.561117,0.24519230769230768,0.47234845,0.47234845
171,-0.18152207,-0.5158089,0.22541966426858512,0.42976737,0.42976737
172,-0.18105811,-0.5134203,0.2511961722488038,0.56150246,0.56150246
173,-0.1674475,-0.508512,0.2755344418052256,0.70171267,0.70171267
174,-0.16983311,-0.4994004,0.27294117647058824,0.6954724,0.6954724
175,-0.18249787,-0.51418257,0.27488151658767773,0.6777271,0.6777271
176,-0.18765877,-0.5245211,0.27817745803357313,0.67870736,0.67870736
177,-0.14399964,-0.5211723,0.2815533980582524,0.742595,0.742595
178,-0.1363672,-0.51847506,0.27951807228915665,0.74274814,0.74274814
179,-0.18470909,-0.5470101,0.2987951807228916,0.7622567,0.7622567
180,-0.14427008,-0.53871465,0.2987951807228916,0.81099117,0.81099117
181,-0.14199457,-0.5330135,0.2973621103117506,0.8118025,0.8118025
182,-0.13829641,-0.5226456,0.2987951807228916,0.83303386,0.83303386
183,-0.14025354,-0.52408075,0.2702702702702703,0.6870171,0.6870171
184,-0.15137628,-0.51897204,0.26763990267639903,0.6678512,0.6678512
185,-0.11463113,-0.5183775,0.2944038929440389,0.83901083,0.83901083
186,-0.1176222,-0.5187049,0.2944038929440389,0.83569235,0.83569235
187,-0.12888663,-0.5123935,0.2682926829268293,0.70018333,0.70018333
188,-0.10522525,-0.52525365,0.2628992628992629,0.68401736,0.68401736
189,-0.10406571,-0.5262583,0.2832512315270936,0.7859322,0.7859322
190,-0.10406571,-0.5262583,0.2832512315270936,0.7859322,0.7859322
191,-0.10018974,-0.5196772,0.3052109181141439,0.90618765,0.90618765
192,-0.10363756,-0.5314724,0.28,0.76489,0.76489
193,-0.10657543,-0.5290905,0.2793017456359102,0.76084274,0.76084274
194,-0.09941889,-0.5277371,0.27791563275434245,0.76242226,0.76242226
195,-0.099958174,-0.50314516,0.2793017456359102,0.79340535,0.79340535
196,-0.10777941,-0.5066295,0.3103448275862069,0.9373152,0.9373152
197,-0.11042718,-0.47672284,0.31265508684863524,0.9761254,0.9761254
198,-0.13976999,-0.46186483,0.32923832923832924,1.0445569,1.0445569
199,-0.16395083,-0.53520805,0.3308641975308642,0.95516205,0.95516205
200,-0.13296135,-0.51100665,0.32923832923832924,1.0022236,1.0022236
201,-0.14921768,-0.5187358,0.32524271844660196,0.95826006,0.95826006
202,-0.12999941,-0.52258813,0.32211538461538464,0.95798934,0.95798934
203,-0.1409621,-0.51589423,0.3228915662650602,0.95760155,0.95760155
204,-0.1409621,-0.51589423,0.3228915662650602,0.95760155,0.95760155
205,-0.14274395,-0.514232,0.324455205811138,0.96530014,0.96530014
206,-0.13492343,-0.4965229,0.32682926829268294,1.0027,1.0027
207,-0.1664804,-0.52498007,0.3073170731707317,0.84512484,0.84512484
208,-0.10004522,-0.4953747,0.2853598014888337,0.8313791,0.8313791
209,-0.10328252,-0.52566016,0.286783042394015,0.8049726,0.8049726
210,-0.11065976,-0.51503825,0.3082706766917293,0.9156553,0.9156553
211,-0.10805558,-0.51234835,0.3082706766917293,0.9209494,0.9209494
212,-0.11451717,-0.50898665,0.30673316708229426,0.910162,0.910162
213,-0.11703221,-0.5011707,0.30982367758186397,0.9309155,0.9309155
214,-0.28387487,-0.5394439,0.30982367758186397,0.7257996,0.7257996
215,-0.25163192,-0.54025346,0.3291139240506329,0.8536842,0.8536842
216,-0.14139038,-0.50056154,0.32338308457711445,0.97496355,0.97496355
217,-0.28629753,-0.540487,0.3217821782178218,0.7821264,0.7821264
218,-0.21161166,-0.52145845,0.30295566502463056,0.78170824,0.78170824
219,-0.15250207,-0.5485452,0.30295566502463056,0.81373113,0.81373113
220,-0.12045683,-0.51813006,0.30073349633251834,0.8650806,0.8650806
221,-0.13335961,-0.50184053,0.3269689737470167,0.99964476,0.99964476
222,-0.13819599,-0.49640715,0.34523809523809523,1.0915873,1.0915873
